State,Customer Lifetime Value,Coverage,Education,EmploymentStatus,Gender,Income,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Policies,Policy Type,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size
Arizona,6755.076276,Extended,College,Employed,F,29881,Married,85,27,95,6,Personal Auto,Offer1,Call Center,17.92017,Four-Door Car,Medsize
California,11315.20373,Premium,Bachelor,Disabled,F,11885,Divorced,101,18,39,2,Personal Auto,Offer1,Agent,484.8,Four-Door Car,Medsize
Nevada,2668.731444,Basic,Doctor,Employed,F,52344,Married,66,4,7,1,Personal Auto,Offer3,Agent,182.607687,Four-Door Car,Small
Arizona,29973.41592,Extended,Bachelor,Employed,F,48471,Married,83,5,20,2,Personal Auto,Offer1,Call Center,208.904212,Four-Door Car,Medsize
Nevada,31234.89323,Extended,Bachelor,Employed,F,70164,Divorced,88,34,3,2,Personal Auto,Offer2,Agent,375.401079,Two-Door Car,Medsize
Nevada,5096.673223,Basic,Master,Disabled,F,22886,Divorced,65,9,81,3,Corporate Auto,Offer1,Agent,312,Four-Door Car,Small
Arizona,5896.536531,Basic,College,Employed,F,39293,Married,74,17,48,6,Personal Auto,Offer2,Web,352.740946,Two-Door Car,Medsize
Nevada,11389.94398,Extended,Bachelor,Employed,F,58187,Married,95,18,39,2,Personal Auto,Offer4,Branch,76.73348,Two-Door Car,Medsize
Nevada,8099.40027,Basic,Bachelor,Employed,F,60932,Married,101,7,35,3,Corporate Auto,Offer1,Agent,484.8,SUV,Large
California,4038.864803,Basic,Bachelor,Unemployed,F,0,Married,110,17,59,1,Personal Auto,Offer2,Call Center,528,SUV,Medsize
California,7781.89849,Extended,Master,Employed,F,57474,Divorced,97,21,44,3,Personal Auto,Offer1,Agent,280.037716,Two-Door Car,Large
Nevada,4834.710493,Basic,College,Employed,F,38713,Divorced,66,31,69,6,Personal Auto,Offer2,Call Center,316.8,Four-Door Car,Medsize
Arizona,3452.029549,Extended,College,Employed,F,61385,Married,86,25,35,1,Personal Auto,Offer2,Call Center,199.299449,Four-Door Car,Medsize
Nevada,8714.922135,Basic,College,Unemployed,F,0,Divorced,118,14,64,4,Personal Auto,Offer1,Agent,566.4,SUV,Medsize
California,3669.83263,Extended,Bachelor,Unemployed,F,0,Married,95,22,17,1,Personal Auto,Offer3,Agent,429.657692,Four-Door Car,Medsize
California,5204.64616,Basic,Bachelor,Medical Leave,F,29406,Married,68,33,79,6,Personal Auto,Offer1,Agent,326.4,Four-Door Car,Medsize
California,7663.514373,Basic,Bachelor,Employed,F,34837,Married,63,32,27,2,Personal Auto,Offer1,Agent,72.828431,Four-Door Car,Medsize
California,11776.00378,Extended,Master,Employed,F,58881,Married,97,8,51,2,Personal Auto,Offer4,Branch,354.885018,Four-Door Car,Medsize
Washington,5635.746396,Basic,College,Employed,F,20303,Married,71,24,84,3,Corporate Auto,Offer1,Branch,340.8,Four-Door Car,Small
Nevada,2839.945741,Basic,Bachelor,Employed,F,53444,Divorced,72,10,67,1,Personal Auto,Offer1,Branch,315.703929,Four-Door Car,Medsize
California,4651.28429,Basic,College,Employed,F,98475,Married,115,8,22,1,Personal Auto,Offer2,Web,552,SUV,Medsize
California,5246.278375,Basic,Bachelor,Employed,F,28909,Married,66,15,66,8,Corporate Auto,Offer1,Agent,456.702735,Two-Door Car,Medsize
California,10611.56172,Extended,College,Unemployed,F,0,Single,96,29,5,2,Personal Auto,Offer3,Branch,949.953253,Four-Door Car,Small
California,9223.987144,Extended,College,Medical Leave,F,18814,Single,122,20,94,3,Personal Auto,Offer2,Branch,585.6,Sports Car,Medsize
California,5729.855012,Basic,Master,Employed,F,92254,Married,70,7,94,7,Corporate Auto,Offer3,Call Center,245.593225,Four-Door Car,Medsize
California,2472.469209,Basic,College,Employed,F,63860,Married,62,26,81,1,Personal Auto,Offer2,Agent,208.598246,Four-Door Car,Medsize
California,7123.694599,Basic,College,Disabled,F,16139,Married,62,19,69,2,Personal Auto,Offer1,Branch,297.6,Four-Door Car,Large
California,5318.89664,Basic,Bachelor,Employed,F,25134,Married,67,3,0,6,Personal Auto,Offer2,Call Center,321.6,Four-Door Car,Small
California,7244.497284,Basic,Bachelor,Unemployed,F,0,Single,103,1,51,3,Personal Auto,Offer2,Agent,494.4,SUV,Small
California,15558.44195,Basic,Bachelor,Employed,F,62922,Married,194,26,80,7,Corporate Auto,Offer1,Agent,1121.633645,Luxury Car,Medsize
California,39033.08248,Basic,Bachelor,Unemployed,F,0,Married,180,11,65,2,Personal Auto,Offer2,Call Center,864,Luxury SUV,Medsize
California,9244.351881,Extended,Doctor,Medical Leave,F,12081,Divorced,82,18,18,2,Personal Auto,Offer3,Agent,548.064933,Two-Door Car,Medsize
California,9880.097141,Extended,Master,Employed,F,62326,Married,122,8,53,8,Personal Auto,Offer1,Agent,96.00936,SUV,Medsize
California,5477.206072,Basic,College,Medical Leave,F,21289,Married,71,15,98,3,Corporate Auto,Offer2,Branch,340.8,Four-Door Car,Large
California,4014.332715,Extended,Master,Employed,F,54054,Married,99,7,55,1,Personal Auto,Offer2,Branch,5.661684,Four-Door Car,Medsize
California,3674.56826,Extended,College,Employed,F,84814,Married,90,25,60,1,Corporate Auto,Offer4,Call Center,512.816507,Four-Door Car,Medsize
California,2754.143877,Basic,College,Employed,F,58705,Married,69,19,95,1,Personal Auto,Offer4,Web,48.956424,Two-Door Car,Medsize
California,4563.859434,Basic,Doctor,Employed,F,62010,Married,112,2,51,1,Personal Auto,Offer2,Agent,537.6,SUV,Medsize
California,5907.078117,Basic,College,Employed,F,47306,Married,74,8,18,3,Corporate Auto,Offer4,Branch,97.723235,Four-Door Car,Medsize
California,17666.56543,Basic,Bachelor,Unemployed,F,0,Single,74,6,92,2,Corporate Auto,Offer1,Web,355.2,Two-Door Car,Large
California,30313.30977,Extended,College,Employed,F,67117,Single,85,10,38,2,Personal Auto,Offer4,Web,329.423177,Two-Door Car,Medsize
California,4726.869327,Extended,Bachelor,Medical Leave,F,13037,Married,124,28,49,1,Personal Auto,Offer2,Agent,839.348464,SUV,Small
California,5165.202368,Extended,Master,Disabled,F,12904,Married,132,17,31,1,Personal Auto,Offer1,Agent,633.6,SUV,Medsize
California,5193.770572,Basic,Master,Employed,F,24948,Married,65,3,51,4,Personal Auto,Offer2,Branch,280.352767,Four-Door Car,Medsize
California,5363.531017,Basic,Bachelor,Employed,F,43879,Single,69,19,60,5,Corporate Auto,Offer1,Branch,242.133552,Four-Door Car,Medsize
California,7079.170237,Extended,College,Employed,F,24450,Married,90,4,65,4,Personal Auto,Offer3,Agent,250.959093,Four-Door Car,Medsize
California,6952.651187,Basic,College,Unemployed,F,0,Single,73,2,38,2,Corporate Auto,Offer2,Agent,525.6,Four-Door Car,Medsize
California,5520.149969,Basic,Bachelor,Employed,F,26129,Divorced,70,4,38,3,Personal Auto,Offer1,Agent,419.187114,Four-Door Car,Medsize
California,5040.775434,Basic,Bachelor,Disabled,F,22350,Married,66,9,3,5,Corporate Auto,Offer1,Agent,316.8,Two-Door Car,Large
California,5654.593045,Extended,Bachelor,Unemployed,F,0,Single,83,0,12,7,Personal Auto,Offer3,Call Center,597.6,Four-Door Car,Medsize
California,7868.808884,Basic,Bachelor,Unemployed,F,0,Married,107,28,14,7,Personal Auto,Offer1,Agent,513.6,SUV,Small
California,6411.675304,Extended,Bachelor,Employed,F,47606,Divorced,81,24,50,4,Personal Auto,Offer3,Agent,388.8,Two-Door Car,Small
California,10144.3094,Extended,College,Medical Leave,F,27231,Married,88,0,7,2,Personal Auto,Offer1,Branch,422.4,Four-Door Car,Medsize
California,8575.961719,Extended,College,Employed,F,39946,Divorced,218,23,99,1,Personal Auto,Offer1,Branch,1046.4,Luxury SUV,Small
California,3746.751625,Extended,College,Employed,F,41479,Married,94,14,38,1,Corporate Auto,Offer2,Call Center,19.575683,Two-Door Car,Large
California,13265.51039,Basic,Bachelor,Employed,F,99617,Married,109,1,62,2,Personal Auto,Offer3,Agent,74.934678,SUV,Medsize
California,5246.278375,Basic,Bachelor,Employed,F,28909,Married,66,15,66,8,Personal Auto,Offer1,Agent,456.702735,Two-Door Car,Medsize
California,5824.767025,Basic,Bachelor,Employed,F,38492,Married,72,27,34,3,Personal Auto,Offer2,Branch,207.901654,Four-Door Car,Medsize
California,5138.244998,Basic,Bachelor,Employed,F,72264,Married,64,2,66,9,Corporate Auto,Offer3,Web,272.649844,Four-Door Car,Medsize
California,40132.01135,Extended,Bachelor,Employed,F,98710,Married,123,21,42,2,Personal Auto,Offer2,Branch,587.391029,Sports Car,Medsize
California,5095.365993,Basic,Bachelor,Employed,F,69461,Single,64,7,61,6,Personal Auto,Offer3,Branch,101.417253,Two-Door Car,Large
California,10351.37265,Extended,College,Employed,F,73895,Married,129,2,31,7,Corporate Auto,Offer4,Branch,825.416826,SUV,Medsize
California,8201.330033,Basic,Master,Employed,F,81785,Divorced,67,12,44,2,Personal Auto,Offer1,Agent,321.6,Four-Door Car,Large
California,2248.449633,Basic,Bachelor,Retired,F,24910,Single,63,7,63,1,Personal Auto,Offer1,Branch,347.857619,Four-Door Car,Medsize
California,8002.308333,Basic,College,Unemployed,F,0,Married,107,3,65,3,Personal Auto,Offer1,Agent,513.6,SUV,Medsize
California,5860.48309,Basic,Bachelor,Employed,F,36889,Married,74,24,82,3,Personal Auto,Offer1,Agent,192.186026,Four-Door Car,Medsize
California,9115.57169,Basic,Bachelor,Employed,F,69588,Married,114,19,45,6,Personal Auto,Offer1,Branch,173.080024,SUV,Medsize
California,3630.269217,Basic,Bachelor,Unemployed,F,0,Single,101,34,53,1,Corporate Auto,Offer2,Web,727.2,SUV,Small
California,2435.321545,Basic,College,Employed,F,43721,Married,61,5,84,1,Personal Auto,Offer2,Branch,292.8,Four-Door Car,Small
California,2628.563096,Basic,College,Employed,F,84498,Married,65,18,83,1,Personal Auto,Offer2,Branch,255.210049,Four-Door Car,Medsize
California,10013.77995,Extended,Bachelor,Unemployed,F,0,Married,135,26,38,3,Personal Auto,Offer2,Branch,773.690268,Sports Car,Medsize
California,11288.17204,Basic,College,Employed,F,96399,Married,70,1,28,2,Personal Auto,Offer2,Agent,307.89535,Four-Door Car,Medsize
California,14627.92807,Extended,College,Employed,F,40711,Married,121,12,38,2,Personal Auto,Offer3,Web,580.8,SUV,Medsize
California,4298.378567,Basic,Bachelor,Employed,F,31414,Married,116,0,68,1,Personal Auto,Offer1,Call Center,556.8,SUV,Medsize
California,5018.894421,Basic,Doctor,Employed,F,74423,Married,62,31,10,5,Personal Auto,Offer2,Agent,50.800186,Four-Door Car,Medsize
California,7200.664877,Basic,College,Unemployed,F,0,Married,66,16,77,2,Personal Auto,Offer2,Agent,316.8,Four-Door Car,Medsize
California,9591.028253,Extended,Bachelor,Unemployed,F,0,Married,128,23,27,6,Corporate Auto,Offer1,Call Center,150.952506,SUV,Medsize
California,2499.036551,Basic,Master,Employed,F,28264,Divorced,63,22,9,1,Corporate Auto,Offer2,Agent,364.622773,Two-Door Car,Small
California,5811.61185,Extended,College,Unemployed,F,0,Married,79,10,22,8,Personal Auto,Offer3,Agent,304.550129,Four-Door Car,Medsize
California,18732.2012,Basic,College,Employed,F,70187,Married,117,4,61,2,Personal Auto,Offer3,Call Center,632.16097,Sports Car,Medsize
California,5260.623466,Basic,Bachelor,Employed,F,31006,Divorced,67,20,16,4,Personal Auto,Offer2,Call Center,321.6,Four-Door Car,Medsize
California,2701.039719,Basic,College,Employed,F,39141,Married,68,22,7,1,Personal Auto,Offer2,Branch,402.456296,Four-Door Car,Small
California,6785.536334,Premium,Bachelor,Unemployed,F,0,Single,197,6,22,1,Corporate Auto,Offer1,Agent,1439.676002,Sports Car,Small
California,7452.939191,Basic,Bachelor,Unemployed,F,0,Single,106,5,32,4,Personal Auto,Offer1,Web,763.2,SUV,Medsize
California,4312.642503,Basic,Master,Disabled,F,25404,Divorced,112,16,4,1,Personal Auto,Offer1,Branch,578.175234,SUV,Medsize
California,6781.125672,Extended,College,Employed,F,30324,Divorced,86,15,67,8,Corporate Auto,Offer1,Call Center,143.943749,Four-Door Car,Medsize
California,4985.239225,Basic,College,Employed,F,31702,Married,63,13,3,7,Personal Auto,Offer1,Web,302.4,Four-Door Car,Medsize
California,6725.043747,Extended,College,Unemployed,F,0,Single,95,15,8,5,Corporate Auto,Offer1,Agent,684,Four-Door Car,Medsize
California,12206.89208,Premium,College,Disabled,F,17705,Married,108,7,19,2,Personal Auto,Offer2,Agent,668.73901,Two-Door Car,Medsize
California,2670.797821,Basic,Bachelor,Unemployed,F,0,Single,72,18,41,1,Corporate Auto,Offer1,Web,366.277224,Four-Door Car,Medsize
California,8033.910862,Basic,College,Employed,F,70311,Married,66,18,15,2,Personal Auto,Offer1,Branch,341.395103,Two-Door Car,Medsize
California,9685.542977,Extended,Bachelor,Employed,F,66022,Married,239,17,80,1,Personal Auto,Offer4,Web,538.229502,Luxury Car,Medsize
California,10453.2558,Extended,Bachelor,Employed,F,73604,Divorced,88,12,75,2,Corporate Auto,Offer2,Agent,398.19284,Two-Door Car,Medsize
California,2671.166649,Basic,Master,Medical Leave,F,23305,Married,68,25,26,1,Personal Auto,Offer2,Branch,127.157137,Four-Door Car,Medsize
California,13422.06378,Basic,College,Employed,F,65024,Married,67,17,15,2,Personal Auto,Offer2,Call Center,189.869329,Four-Door Car,Medsize
California,2424.224662,Basic,Bachelor,Disabled,F,22590,Single,67,7,61,1,Personal Auto,Offer1,Call Center,85.68352,Two-Door Car,Medsize
California,14723.40712,Extended,Master,Employed,F,38401,Married,92,17,62,2,Corporate Auto,Offer1,Agent,441.6,Four-Door Car,Medsize
California,11378.88711,Extended,Bachelor,Employed,F,34854,Married,95,35,50,2,Corporate Auto,Offer2,Call Center,456,Four-Door Car,Medsize
California,5219.754045,Basic,College,Employed,F,48203,Divorced,66,20,47,6,Personal Auto,Offer4,Call Center,413.238845,Four-Door Car,Medsize
California,4762.557323,Basic,Bachelor,Medical Leave,F,16656,Married,63,11,53,9,Personal Auto,Offer1,Branch,302.4,Two-Door Car,Medsize
California,4975.171042,Extended,Master,Employed,F,44723,Married,124,26,3,1,Personal Auto,Offer1,Call Center,341.088276,SUV,Medsize
California,4849.697945,Basic,College,Employed,F,36413,Married,61,21,76,3,Personal Auto,Offer1,Branch,153.013115,Four-Door Car,Medsize
California,8518.549119,Basic,Doctor,Unemployed,F,0,Married,112,19,86,8,Personal Auto,Offer2,Branch,537.6,Sports Car,Medsize
California,14070.63897,Extended,College,Unemployed,F,0,Single,127,0,71,2,Corporate Auto,Offer1,Web,677.868206,SUV,Medsize
California,11435.23124,Basic,College,Disabled,F,12470,Married,103,30,52,2,Corporate Auto,Offer1,Agent,618.688651,SUV,Medsize
California,5893.368906,Basic,Bachelor,Employed,F,86498,Married,74,13,13,5,Personal Auto,Offer3,Agent,8.529778,Two-Door Car,Medsize
California,8256.2978,Basic,Bachelor,Employed,F,62902,Married,69,14,94,2,Personal Auto,Offer2,Web,159.383042,Two-Door Car,Medsize
California,2460.167359,Basic,College,Employed,F,69241,Married,61,14,84,1,Personal Auto,Offer3,Web,47.95916,Four-Door Car,Small
California,4916.479717,Basic,Bachelor,Unemployed,F,0,Single,65,21,61,7,Personal Auto,Offer1,Agent,312,Two-Door Car,Large
California,3673.525732,Extended,Bachelor,Employed,F,69555,Single,92,16,59,1,Personal Auto,Offer1,Agent,255.277041,Four-Door Car,Medsize
California,4889.765364,Basic,Bachelor,Employed,F,46819,Divorced,62,15,0,5,Personal Auto,Offer1,Agent,157.990123,Four-Door Car,Large
California,10537.40467,Basic,Master,Employed,F,47950,Married,65,27,14,2,Personal Auto,Offer3,Call Center,301.867895,Four-Door Car,Large
California,4564.512659,Basic,Master,Medical Leave,F,12626,Single,69,31,15,3,Personal Auto,Offer4,Branch,331.2,Four-Door Car,Small
California,2591.749798,Basic,College,Employed,F,56701,Married,65,34,36,1,Personal Auto,Offer4,Web,333.441673,Four-Door Car,Small
California,5205.256308,Basic,Bachelor,Employed,F,53614,Married,65,25,70,5,Personal Auto,Offer1,Agent,725.849253,Four-Door Car,Small
California,35186.25611,Extended,Bachelor,Employed,F,86134,Divorced,98,17,78,2,Corporate Auto,Offer1,Agent,3.246203,Two-Door Car,Small
California,14980.04626,Extended,Bachelor,Unemployed,F,0,Single,222,26,50,8,Personal Auto,Offer1,Branch,1123.485329,Luxury Car,Medsize
California,4773.656279,Basic,Bachelor,Employed,F,27725,Married,63,1,93,4,Personal Auto,Offer1,Branch,302.4,Four-Door Car,Medsize
California,3491.26162,Extended,Master,Employed,F,29673,Single,92,21,49,1,Corporate Auto,Offer2,Branch,328.348506,Two-Door Car,Medsize
California,2309.876793,Basic,Bachelor,Unemployed,F,0,Divorced,61,16,57,1,Personal Auto,Offer1,Agent,32.454659,Four-Door Car,Medsize
California,5039.435344,Basic,College,Employed,F,82940,Single,63,12,56,3,Personal Auto,Offer3,Agent,332.847984,Four-Door Car,Medsize
California,6273.911874,Extended,College,Retired,F,18577,Divorced,86,21,76,6,Corporate Auto,Offer1,Branch,412.8,Four-Door Car,Medsize
California,6872.043512,Basic,Bachelor,Unemployed,F,0,Single,64,0,72,2,Corporate Auto,Offer1,Call Center,585.058877,Four-Door Car,Small
California,13736.1325,Premium,Master,Disabled,F,16181,Divorced,181,22,79,8,Personal Auto,Offer1,Web,1261.319869,SUV,Medsize
California,4770.984146,Basic,Master,Employed,F,76194,Single,119,5,85,1,Personal Auto,Offer1,Agent,388.313599,SUV,Large
California,10296.9965,Extended,Bachelor,Unemployed,F,0,Single,138,11,84,9,Personal Auto,Offer2,Call Center,666.977979,SUV,Large
California,3237.923545,Extended,College,Employed,F,60097,Single,82,11,62,1,Personal Auto,Offer3,Branch,278.735779,Four-Door Car,Medsize
California,5254.019142,Basic,College,Employed,F,95017,Married,65,5,36,3,Personal Auto,Offer2,Web,324.99944,Four-Door Car,Medsize
California,2228.525238,Basic,College,Unemployed,F,0,Single,64,3,26,1,Personal Auto,Offer4,Call Center,744.924331,Four-Door Car,Medsize
California,16501.06524,Extended,Bachelor,Employed,F,83547,Married,137,6,14,2,Personal Auto,Offer1,Call Center,75.663572,SUV,Medsize
California,5049.765309,Basic,Bachelor,Retired,F,10180,Married,65,17,99,4,Corporate Auto,Offer1,Branch,455.654032,Two-Door Car,Medsize
California,3210.136249,Extended,College,Medical Leave,F,23554,Divorced,86,7,17,1,Corporate Auto,Offer4,Web,412.8,Four-Door Car,Small
California,4531.366283,Premium,Bachelor,Unemployed,F,0,Married,119,30,95,1,Personal Auto,Offer1,Branch,571.2,Four-Door Car,Medsize
California,7901.427389,Extended,Bachelor,Employed,M,99711,Married,98,24,24,7,Corporate Auto,Offer2,Branch,11.549207,Four-Door Car,Small
California,8596.567628,Basic,College,Employed,F,25785,Single,112,8,22,4,Corporate Auto,Offer1,Call Center,537.6,SUV,Small
California,8262.629249,Basic,College,Unemployed,F,0,Single,113,25,55,3,Corporate Auto,Offer1,Agent,813.6,SUV,Medsize
California,5495.183322,Basic,College,Employed,M,25564,Divorced,71,29,58,6,Personal Auto,Offer1,Agent,228.515513,Four-Door Car,Medsize
California,2471.278718,Basic,Bachelor,Employed,F,29918,Married,62,1,53,1,Personal Auto,Offer4,Web,108.892382,Four-Door Car,Medsize
California,4128.385865,Basic,Bachelor,Employed,F,95891,Married,102,3,13,1,Corporate Auto,Offer1,Agent,34.235959,SUV,Medsize
California,6575.451884,Extended,Bachelor,Employed,M,84146,Married,82,0,79,7,Personal Auto,Offer4,Agent,464.714188,Four-Door Car,Medsize
California,7425.269244,Basic,College,Employed,M,36259,Married,63,14,60,2,Corporate Auto,Offer4,Branch,302.4,Four-Door Car,Medsize
California,3924.416277,Basic,College,Employed,M,56480,Single,101,32,65,1,Corporate Auto,Offer3,Branch,617.650751,SUV,Medsize
California,8660.838974,Basic,College,Employed,F,79674,Married,107,29,50,3,Personal Auto,Offer3,Call Center,9.275859,SUV,Medsize
California,8130.651447,Basic,College,Employed,M,61036,Married,68,2,75,2,Corporate Auto,Offer3,Web,413.25233,Two-Door Car,Medsize
California,12751.27591,Basic,Bachelor,Employed,F,33235,Single,110,18,79,2,Personal Auto,Offer1,Call Center,113.804117,SUV,Small
California,4170.687348,Basic,Master,Employed,F,29462,Single,107,28,23,1,Personal Auto,Offer2,Branch,513.6,SUV,Large
California,3573.291869,Basic,Bachelor,Unemployed,F,0,Single,109,25,21,1,Personal Auto,Offer1,Call Center,523.2,SUV,Medsize
California,9095.049868,Basic,College,Employed,M,37937,Married,116,11,42,5,Corporate Auto,Offer2,Call Center,556.8,SUV,Medsize
California,4794.116328,Basic,College,Employed,F,70012,Married,119,22,33,1,Personal Auto,Offer4,Agent,755.19863,SUV,Small
California,14435.67365,Premium,Master,Employed,M,60880,Married,119,25,89,2,Personal Auto,Offer1,Agent,109.906628,Two-Door Car,Medsize
California,9061.63365,Basic,Bachelor,Unemployed,M,0,Single,65,19,87,2,Corporate Auto,Offer1,Branch,413.288528,Four-Door Car,Small
California,8256.2978,Basic,Bachelor,Employed,F,62902,Married,69,14,94,2,Personal Auto,Offer2,Web,159.383042,Two-Door Car,Medsize
California,19327.87406,Extended,Bachelor,Employed,F,57245,Single,124,25,15,2,Corporate Auto,Offer2,Call Center,681.577742,Sports Car,Small
California,7050.972166,Premium,Bachelor,Employed,F,39040,Married,174,4,34,1,Personal Auto,Offer2,Web,835.2,SUV,Medsize
California,5519.513075,Basic,Doctor,Employed,F,70914,Married,68,15,82,3,Personal Auto,Offer1,Agent,77.695518,Four-Door Car,Medsize
California,10090.40808,Extended,College,Employed,F,97238,Divorced,126,6,91,3,Personal Auto,Offer3,Web,604.8,SUV,Medsize
California,31316.61358,Extended,Bachelor,Employed,F,42522,Married,132,3,85,2,Corporate Auto,Offer3,Agent,909.876614,SUV,Medsize
California,4957.1612,Basic,Bachelor,Unemployed,F,0,Divorced,67,3,69,7,Personal Auto,Offer2,Branch,321.6,Four-Door Car,Medsize
California,4014.453113,Extended,Doctor,Employed,F,37384,Married,99,9,17,1,Personal Auto,Offer2,Agent,475.2,Four-Door Car,Medsize
California,7370.61684,Basic,Bachelor,Employed,F,67871,Married,61,1,21,2,Corporate Auto,Offer1,Branch,10.475529,Four-Door Car,Medsize
California,15503.72309,Basic,College,Employed,F,29932,Married,64,34,5,2,Personal Auto,Offer1,Branch,319.710124,Two-Door Car,Medsize
California,12765.77704,Basic,Bachelor,Unemployed,F,0,Single,117,13,47,2,Personal Auto,Offer2,Web,842.4,SUV,Medsize
California,9159.005771,Premium,Bachelor,Employed,F,96331,Divorced,114,33,38,9,Personal Auto,Offer3,Agent,491.027024,Two-Door Car,Medsize
California,11072.03193,Extended,Bachelor,Employed,M,58971,Divorced,94,12,75,2,Corporate Auto,Offer1,Agent,318.882053,Four-Door Car,Medsize
California,8607.482071,Premium,College,Unemployed,M,0,Married,118,30,52,7,Personal Auto,Offer1,Web,566.4,Four-Door Car,Medsize
California,4222.977602,Basic,Bachelor,Unemployed,M,0,Single,63,26,78,7,Personal Auto,Offer1,Agent,302.4,Two-Door Car,Small
California,61134.68307,Basic,College,Unemployed,M,0,Single,198,2,75,2,Corporate Auto,Offer2,Branch,2275.265075,Luxury Car,Medsize
California,9368.27103,Extended,College,Employed,M,44980,Divorced,81,2,27,2,Corporate Auto,Offer3,Agent,333.478333,Two-Door Car,Medsize
California,4365.256633,Basic,Master,Disabled,M,23566,Married,112,3,43,1,Personal Auto,Offer2,Agent,537.6,SUV,Medsize
California,3384.468426,Extended,College,Employed,F,54603,Single,86,29,68,1,Corporate Auto,Offer1,Agent,412.8,Four-Door Car,Medsize
California,3875.541141,Basic,College,Unemployed,M,0,Single,117,11,29,1,Personal Auto,Offer1,Branch,842.4,Sports Car,Medsize
California,2735.469265,Basic,College,Employed,F,96314,Single,69,2,76,1,Personal Auto,Offer2,Agent,296.995798,Four-Door Car,Medsize
California,3092.632781,Extended,Bachelor,Employed,F,31168,Married,78,14,42,1,Corporate Auto,Offer1,Agent,289.386343,Four-Door Car,Medsize
California,14382.56463,Extended,College,Employed,M,52174,Married,121,22,25,2,Personal Auto,Offer1,Call Center,403.737293,SUV,Medsize
California,2762.801339,Basic,College,Employed,F,72335,Single,69,23,35,1,Personal Auto,Offer2,Web,331.2,Four-Door Car,Medsize
California,5599.668502,Basic,Doctor,Unemployed,M,0,Married,73,1,60,5,Corporate Auto,Offer4,Web,350.4,Four-Door Car,Medsize
California,4974.801539,Basic,Bachelor,Employed,M,75644,Divorced,65,5,68,9,Personal Auto,Offer2,Branch,467.803638,Two-Door Car,Medsize
California,5574.618901,Basic,College,Employed,M,20075,Married,71,0,28,3,Personal Auto,Offer1,Agent,371.679189,Four-Door Car,Small
California,6889.518761,Extended,Bachelor,Employed,F,33786,Divorced,89,15,94,3,Personal Auto,Offer1,Call Center,75.110004,Two-Door Car,Large
California,17497.52201,Basic,College,Unemployed,M,0,Divorced,73,9,94,2,Personal Auto,Offer1,Agent,350.4,Two-Door Car,Medsize
California,5358.163394,Basic,Bachelor,Employed,F,40833,Single,69,13,84,6,Corporate Auto,Offer2,Call Center,294.591676,Four-Door Car,Medsize
California,8080.948098,Basic,College,Employed,M,85210,Single,68,34,9,2,Personal Auto,Offer3,Branch,32.714226,Two-Door Car,Medsize
California,5678.050167,Extended,Bachelor,Unemployed,F,0,Married,76,8,44,3,Corporate Auto,Offer2,Agent,364.8,Four-Door Car,Small
California,5243.538258,Basic,Master,Employed,F,44851,Divorced,66,28,51,3,Corporate Auto,Offer3,Web,439.762045,Four-Door Car,Medsize
California,30859.36361,Basic,Master,Employed,M,69872,Married,111,35,10,2,Corporate Auto,Offer2,Web,218.395525,Sports Car,Medsize
California,13447.37157,Extended,College,Retired,F,26708,Divorced,122,10,24,2,Personal Auto,Offer2,Call Center,585.6,SUV,Medsize
California,2722.210707,Basic,College,Medical Leave,F,17576,Married,71,29,70,1,Personal Auto,Offer2,Call Center,398.502948,Four-Door Car,Medsize
California,32317.03275,Basic,Bachelor,Employed,F,55475,Divorced,116,18,75,2,Personal Auto,Offer1,Agent,412.471,SUV,Medsize
California,7896.706446,Basic,College,Unemployed,M,0,Married,111,22,21,8,Corporate Auto,Offer1,Branch,190.120714,SUV,Medsize
California,2820.741005,Basic,Master,Employed,M,35855,Married,70,13,51,1,Personal Auto,Offer3,Web,278.208622,Two-Door Car,Medsize
California,7689.714281,Basic,Bachelor,Unemployed,M,0,Single,73,3,73,2,Personal Auto,Offer2,Web,617.705323,Four-Door Car,Medsize
California,4821.213012,Basic,College,Employed,M,63391,Married,64,28,48,3,Corporate Auto,Offer3,Agent,119.587974,Four-Door Car,Medsize
California,4077.501164,Basic,Bachelor,Employed,F,53093,Divorced,103,3,62,1,Corporate Auto,Offer2,Call Center,98.991733,SUV,Medsize
California,2888.853662,Basic,College,Employed,M,65412,Married,73,1,74,1,Personal Auto,Offer3,Branch,101.753098,Four-Door Car,Medsize
California,3653.12609,Premium,College,Unemployed,M,0,Single,107,32,43,1,Corporate Auto,Offer1,Branch,770.4,Four-Door Car,Medsize
California,4836.747754,Extended,Bachelor,Unemployed,F,0,Single,136,8,2,1,Personal Auto,Offer1,Branch,979.2,SUV,Small
California,13009.18057,Basic,College,Unemployed,M,0,Single,61,2,81,2,Personal Auto,Offer1,Agent,380.069056,Two-Door Car,Medsize
California,2612.528734,Basic,College,Employed,M,37073,Married,66,16,35,1,Personal Auto,Offer2,Branch,316.8,Four-Door Car,Medsize
California,4704.176131,Basic,College,Unemployed,M,0,Married,68,10,48,3,Personal Auto,Offer3,Call Center,326.4,Two-Door Car,Medsize
